species,antibiotic_a,antibiotic_b,n_jointly_labeled,value_agreement,missingness_agreement
saureus,Clindamycin,Oxacillin,3635,0.7614855570839064,0.9776951672862454
saureus,Clindamycin,Cefazolin,3631,0.7648030845497108,0.9981412639405205
saureus,Clindamycin,Rifampicin,3635,0.8423658872077029,0.9782670860737775
saureus,Clindamycin,Fusidic acid,3635,0.7969738651994498,0.9782670860737775
saureus,Clindamycin,Mupirocin,3623,0.8393596467016284,0.9964255075779239
saureus,Amoxicillin-Clavulanic acid,Vancomycin,3640,0.8043956043956044,0.9784100657706606
saureus,Amoxicillin-Clavulanic acid,Penicillin,3634,0.4551458447991194,0.9991421218187018
saureus,Amoxicillin-Clavulanic acid,Erythromycin,3640,0.7664835164835165,1.0
saureus,Amoxicillin-Clavulanic acid,Tetracycline,3640,0.8258241758241758,0.9995710609093509
saureus,Amoxicillin-Clavulanic acid,Ampicillin-Amoxicillin,3637,0.45477041517734396,0.9995710609093509
saureus,Amoxicillin-Clavulanic acid,Linezolid,3639,0.804341852157186,0.999857020303117
saureus,Amoxicillin-Clavulanic acid,Teicoplanin,3631,0.8039107683833655,0.9987131827280527
saureus,Amoxicillin-Clavulanic acid,Tigecycline,3640,0.8041208791208792,1.0
saureus,Amoxicillin-Clavulanic acid,Daptomycin,3640,0.8002747252747253,0.9795539033457249
saureus,Amoxicillin-Clavulanic acid,Gentamicin,3640,0.8164835164835165,0.9995710609093509
saureus,Amoxicillin-Clavulanic acid,Cefuroxime,3640,1.0,1.0
saureus,Amoxicillin-Clavulanic acid,Oxacillin,3640,0.9975274725274725,0.9784100657706606
saureus,Amoxicillin-Clavulanic acid,Cefazolin,3640,1.0,1.0
saureus,Amoxicillin-Clavulanic acid,Rifampicin,3640,0.8060439560439561,0.9789819845581927
saureus,Amoxicillin-Clavulanic acid,Fusidic acid,3640,0.792032967032967,0.9789819845581927
saureus,Amoxicillin-Clavulanic acid,Mupirocin,3632,0.8058920704845814,0.9982842436374035
saureus,Vancomycin,Penicillin,3634,0.2592184920198129,0.9775521875893624
saureus,Vancomycin,Erythromycin,3640,0.8098901098901099,0.9784100657706606
saureus,Vancomycin,Tetracycline,3643,0.916003293988471,0.9788390048613097
saureus,Vancomycin,Ampicillin-Amoxicillin,3637,0.25900467418201817,0.9779811266800115
saureus,Vancomycin,Linezolid,3639,1.0,0.9782670860737775
saureus,Vancomycin,Teicoplanin,3631,0.998347562654916,0.9771232484987132
saureus,Vancomycin,Tigecycline,3640,0.9997252747252747,0.9784100657706606
saureus,Vancomycin,Daptomycin,3783,0.9912767644726408,0.9988561624249357
saureus,Vancomycin,Gentamicin,3643,0.9676091133681032,0.9788390048613097
saureus,Vancomycin,Cefuroxime,3640,0.8043956043956044,0.9784100657706606
saureus,Vancomycin,Oxacillin,3791,0.808230018464785,1.0
saureus,Vancomycin,Cefazolin,3640,0.8043956043956044,0.9784100657706606
saureus,Vancomycin,Rifampicin,3787,0.9862688143649326,0.9994280812124678
saureus,Vancomycin,Fusidic acid,3787,0.9276472141536837,0.9994280812124678
saureus,Vancomycin,Mupirocin,3635,0.9947730398899587,0.9775521875893624
saureus,Penicillin,Erythromycin,3634,0.3786461199779857,0.9991421218187018
saureus,Penicillin,Tetracycline,3634,0.3318657127132636,0.9987131827280527
saureus,Penicillin,Ampicillin-Amoxicillin,3634,1.0,0.9995710609093509
saureus,Penicillin,Linezolid,3633,0.259289843104872,0.9989991421218187
saureus,Penicillin,Teicoplanin,3628,0.26102535832414553,0.9987131827280527
saureus,Penicillin,Tigecycline,3634,0.2589433131535498,0.9991421218187018
saureus,Penicillin,Daptomycin,3634,0.26719867914144196,0.9786960251644267
saureus,Penicillin,Gentamicin,3634,0.28398458998348924,0.9987131827280527
saureus,Penicillin,Cefuroxime,3634,0.4551458447991194,0.9991421218187018
saureus,Penicillin,Oxacillin,3634,0.45762245459548706,0.9775521875893624
saureus,Penicillin,Cefazolin,3634,0.4551458447991194,0.9991421218187018
saureus,Penicillin,Rifampicin,3634,0.2685745734727573,0.9781241063768945
saureus,Penicillin,Fusidic acid,3634,0.30627407815079805,0.9781241063768945
saureus,Penicillin,Mupirocin,3626,0.26392719249862107,0.9974263654561052
saureus,Erythromycin,Tetracycline,3640,0.8324175824175825,0.9995710609093509
saureus,Erythromycin,Ampicillin-Amoxicillin,3637,0.37833379158647235,0.9995710609093509
saureus,Erythromycin,Linezolid,3639,0.8101126683154712,0.999857020303117
saureus,Erythromycin,Teicoplanin,3631,0.8099697053153401,0.9987131827280527
saureus,Erythromycin,Tigecycline,3640,0.8096153846153846,1.0
saureus,Erythromycin,Daptomycin,3640,0.8057692307692308,0.9795539033457249
saureus,Erythromycin,Gentamicin,3640,0.8076923076923077,0.9995710609093509
saureus,Erythromycin,Cefuroxime,3640,0.7664835164835165,1.0
saureus,Erythromycin,Oxacillin,3640,0.7645604395604395,0.9784100657706606
saureus,Erythromycin,Cefazolin,3640,0.7664835164835165,1.0
saureus,Erythromycin,Rifampicin,3640,0.8115384615384615,0.9789819845581927
saureus,Erythromycin,Fusidic acid,3640,0.7678571428571429,0.9789819845581927
saureus,Erythromycin,Mupirocin,3632,0.8122246696035242,0.9982842436374035
saureus,Tetracycline,Ampicillin-Amoxicillin,3637,0.3315919714050041,0.9991421218187018
saureus,Tetracycline,Linezolid,3639,0.9161857653201428,0.9994280812124678
saureus,Tetracycline,Teicoplanin,3631,0.9143486642798128,0.9982842436374035
saureus,Tetracycline,Tigecycline,3640,0.9162087912087912,0.9995710609093509
saureus,Tetracycline,Daptomycin,3643,0.9069448256931101,0.979982842436374
saureus,Tetracycline,Gentamicin,3643,0.9011803458687895,1.0
saureus,Tetracycline,Cefuroxime,3640,0.8258241758241758,0.9995710609093509
saureus,Tetracycline,Oxacillin,3643,0.8234971177600878,0.9788390048613097
saureus,Tetracycline,Cefazolin,3640,0.8258241758241758,0.9995710609093509
saureus,Tetracycline,Rifampicin,3643,0.9132583035959374,0.9794109236488419
saureus,Tetracycline,Fusidic acid,3643,0.8685149601976393,0.9794109236488419
saureus,Tetracycline,Mupirocin,3635,0.9114167812929849,0.9987131827280527
saureus,Ampicillin-Amoxicillin,Linezolid,3636,0.2590759075907591,0.9994280812124678
saureus,Ampicillin-Amoxicillin,Teicoplanin,3631,0.2608096942990912,0.9991421218187018
saureus,Ampicillin-Amoxicillin,Tigecycline,3637,0.25872972229859775,0.9995710609093509
saureus,Ampicillin-Amoxicillin,Daptomycin,3637,0.2669782788012098,0.9791249642550758
saureus,Ampicillin-Amoxicillin,Gentamicin,3637,0.2837503436898543,0.9991421218187018
saureus,Ampicillin-Amoxicillin,Cefuroxime,3637,0.45477041517734396,0.9995710609093509
saureus,Ampicillin-Amoxicillin,Oxacillin,3637,0.4572449821281276,0.9779811266800115
saureus,Ampicillin-Amoxicillin,Cefazolin,3637,0.45477041517734396,0.9995710609093509
saureus,Ampicillin-Amoxicillin,Rifampicin,3637,0.2683530382183118,0.9785530454675436
saureus,Ampicillin-Amoxicillin,Fusidic acid,3637,0.3060214462469068,0.9785530454675436
saureus,Ampicillin-Amoxicillin,Mupirocin,3629,0.2637090107467622,0.9978553045467543
saureus,Linezolid,Teicoplanin,3630,0.9983471074380166,0.9985702030311696
saureus,Linezolid,Tigecycline,3639,0.9997251992305578,0.999857020303117
saureus,Linezolid,Daptomycin,3639,0.9909315746084089,0.9794109236488419
saureus,Linezolid,Gentamicin,3639,0.9675735092058257,0.9994280812124678
saureus,Linezolid,Cefuroxime,3639,0.804341852157186,0.999857020303117
saureus,Linezolid,Oxacillin,3639,0.8018686452322067,0.9782670860737775
saureus,Linezolid,Cefazolin,3639,0.804341852157186,0.999857020303117
saureus,Linezolid,Rifampicin,3639,0.9901071723000825,0.9788390048613097
saureus,Linezolid,Fusidic acid,3639,0.9321242099477879,0.9788390048613097
saureus,Linezolid,Mupirocin,3631,0.9947672817405674,0.9981412639405205
saureus,Teicoplanin,Tigecycline,3631,0.9980721564307353,0.9987131827280527
saureus,Teicoplanin,Daptomycin,3631,0.990911594602038,0.9782670860737775
saureus,Teicoplanin,Gentamicin,3631,0.96695125309832,0.9982842436374035
saureus,Teicoplanin,Cefuroxime,3631,0.8039107683833655,0.9987131827280527
saureus,Teicoplanin,Oxacillin,3631,0.8014321123657394,0.9771232484987132
saureus,Teicoplanin,Cefazolin,3631,0.8039107683833655,0.9987131827280527
saureus,Teicoplanin,Rifampicin,3631,0.989259157256954,0.9776951672862454
saureus,Teicoplanin,Fusidic acid,3631,0.9311484439548334,0.9776951672862454
saureus,Teicoplanin,Mupirocin,3628,0.9933847850055126,0.9984272233342866
saureus,Tigecycline,Daptomycin,3640,0.9906593406593407,0.9795539033457249
saureus,Tigecycline,Gentamicin,3640,0.9673076923076923,0.9995710609093509
saureus,Tigecycline,Cefuroxime,3640,0.8041208791208792,1.0
saureus,Tigecycline,Oxacillin,3640,0.8016483516483517,0.9784100657706606
saureus,Tigecycline,Cefazolin,3640,0.8041208791208792,1.0
saureus,Tigecycline,Rifampicin,3640,0.9898351648351649,0.9789819845581927
saureus,Tigecycline,Fusidic acid,3640,0.9318681318681319,0.9789819845581927
saureus,Tigecycline,Mupirocin,3632,0.9944933920704846,0.9982842436374035
saureus,Daptomycin,Gentamicin,3643,0.9596486412297557,0.979982842436374
saureus,Daptomycin,Cefuroxime,3640,0.8002747252747253,0.9795539033457249
saureus,Daptomycin,Oxacillin,3783,0.8038593708696802,0.9988561624249357
saureus,Daptomycin,Cefazolin,3640,0.8002747252747253,0.9795539033457249
saureus,Daptomycin,Rifampicin,3783,0.9785884218873909,0.9994280812124678
saureus,Daptomycin,Fusidic acid,3783,0.922548242135871,0.9994280812124678
saureus,Daptomycin,Mupirocin,3635,0.9856946354883082,0.9786960251644267
saureus,Gentamicin,Cefuroxime,3640,0.8164835164835165,0.9995710609093509
saureus,Gentamicin,Oxacillin,3643,0.8141641504254735,0.9788390048613097
saureus,Gentamicin,Cefazolin,3640,0.8164835164835165,0.9995710609093509
saureus,Gentamicin,Rifampicin,3643,0.9681581114466099,0.9794109236488419
saureus,Gentamicin,Fusidic acid,3643,0.9124348064781773,0.9794109236488419
saureus,Gentamicin,Mupirocin,3635,0.9645116918844566,0.9987131827280527
saureus,Cefuroxime,Oxacillin,3640,0.9975274725274725,0.9784100657706606
saureus,Cefuroxime,Cefazolin,3640,1.0,1.0
saureus,Cefuroxime,Rifampicin,3640,0.8060439560439561,0.9789819845581927
saureus,Cefuroxime,Fusidic acid,3640,0.792032967032967,0.9789819845581927
saureus,Cefuroxime,Mupirocin,3632,0.8058920704845814,0.9982842436374035
saureus,Oxacillin,Cefazolin,3640,0.9975274725274725,0.9784100657706606
saureus,Oxacillin,Rifampicin,3787,0.8053868497491418,0.9994280812124678
saureus,Oxacillin,Fusidic acid,3787,0.7890150514919462,0.9994280812124678
saureus,Oxacillin,Mupirocin,3635,0.803576341127923,0.9775521875893624
saureus,Cefazolin,Rifampicin,3640,0.8060439560439561,0.9789819845581927
saureus,Cefazolin,Fusidic acid,3640,0.792032967032967,0.9789819845581927
saureus,Cefazolin,Mupirocin,3632,0.8058920704845814,0.9982842436374035
saureus,Rifampicin,Fusidic acid,3787,0.9281753366781094,1.0
saureus,Rifampicin,Mupirocin,3635,0.9856946354883082,0.9781241063768945
saureus,Fusidic acid,Mupirocin,3635,0.9306740027510316,0.9781241063768945
kpneumoniae,Piperacillin-Tazobactam,Meropenem,2781,0.8676734987414599,0.9795970415710278
kpneumoniae,Piperacillin-Tazobactam,Ciprofloxacin,2787,0.8654467168998924,0.9803621525121142
kpneumoniae,Piperacillin-Tazobactam,Cefepime,2787,0.9099390025116613,0.9803621525121142
kpneumoniae,Piperacillin-Tazobactam,Cotrimoxazole,2787,0.8274129888769286,0.9808722264728386
kpneumoniae,Piperacillin-Tazobactam,Ceftazidime,2787,0.9178327951202009,0.9821474113746493
kpneumoniae,Piperacillin-Tazobactam,Amikacin,2787,0.8801578758521708,0.9821474113746493
kpneumoniae,Piperacillin-Tazobactam,Levofloxacin,2787,0.8654467168998924,0.9824024483550114
kpneumoniae,Piperacillin-Tazobactam,Imipenem,2787,0.8632938643702907,0.9813823004335629
kpneumoniae,Piperacillin-Tazobactam,Tobramycin,2787,0.8977395048439182,0.9824024483550114
kpneumoniae,Piperacillin-Tazobactam,Ceftriaxone,2787,0.9038392536777897,0.9803621525121142
kpneumoniae,Piperacillin-Tazobactam,Colistin,2785,0.8488330341113106,0.9813823004335629
kpneumoniae,Piperacillin-Tazobactam,Amoxicillin-Clavulanic acid,2783,0.9597556593604024,0.9813823004335629
kpneumoniae,Piperacillin-Tazobactam,Ampicillin-Amoxicillin,2787,0.155005382131324,0.9824024483550114
kpneumoniae,Piperacillin-Tazobactam,Ertapenem,2787,0.873340509508432,0.9793420045906657
kpneumoniae,Piperacillin-Tazobactam,Cefpodoxime,1763,0.9325014180374361,0.7227748023463402
kpneumoniae,Piperacillin-Tazobactam,Norfloxacin,1758,0.89419795221843,0.7214996174445295
kpneumoniae,Piperacillin-Tazobactam,Fosfomycin-Trometamol,1759,0.6884593519044911,0.7217546544248916
kpneumoniae,Meropenem,Ciprofloxacin,2850,0.8178947368421052,0.9951542973731191
kpneumoniae,Meropenem,Cefepime,2850,0.8817543859649123,0.9951542973731191
kpneumoniae,Meropenem,Cotrimoxazole,2850,0.7943859649122808,0.9956643713338434
kpneumoniae,Meropenem,Ceftazidime,2851,0.8639074009119607,0.9974496301963784
kpneumoniae,Meropenem,Amikacin,2851,0.9417748158540863,0.9974496301963784
kpneumoniae,Meropenem,Levofloxacin,2850,0.8178947368421052,0.9971945932160163
kpneumoniae,Meropenem,Imipenem,2854,0.9968465311843028,0.9982147411374649
kpneumoniae,Meropenem,Tobramycin,2850,0.883859649122807,0.9971945932160163
kpneumoniae,Meropenem,Ceftriaxone,2850,0.8610526315789474,0.9951542973731191
kpneumoniae,Meropenem,Colistin,2847,0.9764664559185107,0.9956643713338434
kpneumoniae,Meropenem,Amoxicillin-Clavulanic acid,2838,0.8291050035236082,0.9920938536087732
kpneumoniae,Meropenem,Ampicillin-Amoxicillin,2850,0.021052631578947368,0.9971945932160163
kpneumoniae,Meropenem,Ertapenem,2852,0.9919354838709677,0.9951542973731191
kpneumoniae,Meropenem,Cefpodoxime,1822,0.8787047200878156,0.7355266513644478
kpneumoniae,Meropenem,Norfloxacin,1817,0.8475509080902587,0.7342514664626371
kpneumoniae,Meropenem,Fosfomycin-Trometamol,1818,0.740924092409241,0.7345065034429993
kpneumoniae,Ciprofloxacin,Cefepime,2864,0.8819832402234636,1.0
kpneumoniae,Ciprofloxacin,Cotrimoxazole,2862,0.8710691823899371,0.9994899260392757
kpneumoniae,Ciprofloxacin,Ceftazidime,2856,0.8799019607843137,0.9977046671767407
kpneumoniae,Ciprofloxacin,Amikacin,2856,0.8483893557422969,0.9977046671767407
kpneumoniae,Ciprofloxacin,Levofloxacin,2856,1.0,0.9979597041571028
kpneumoniae,Ciprofloxacin,Imipenem,2856,0.8186274509803921,0.9969395562356542
kpneumoniae,Ciprofloxacin,Tobramycin,2856,0.8921568627450981,0.9979597041571028
kpneumoniae,Ciprofloxacin,Ceftriaxone,2864,0.8875698324022346,1.0
kpneumoniae,Ciprofloxacin,Colistin,2851,0.8155033321641529,0.9954093343534812
kpneumoniae,Ciprofloxacin,Amoxicillin-Clavulanic acid,2852,0.8565918653576438,0.9969395562356542
kpneumoniae,Ciprofloxacin,Ampicillin-Amoxicillin,2856,0.1873249299719888,0.9979597041571028
kpneumoniae,Ciprofloxacin,Ertapenem,2864,0.8187849162011173,0.9989798520785514
kpneumoniae,Ciprofloxacin,Cefpodoxime,1826,0.8964950711938664,0.7352716143840857
kpneumoniae,Ciprofloxacin,Norfloxacin,1821,1.0,0.733996429482275
kpneumoniae,Ciprofloxacin,Fosfomycin-Trometamol,1822,0.686059275521405,0.7342514664626371
kpneumoniae,Cefepime,Cotrimoxazole,2862,0.8682739343116702,0.9994899260392757
kpneumoniae,Cefepime,Ceftazidime,2856,0.9681372549019608,0.9977046671767407
kpneumoniae,Cefepime,Amikacin,2856,0.9002100840336135,0.9977046671767407
kpneumoniae,Cefepime,Levofloxacin,2856,0.8830532212885154,0.9979597041571028
kpneumoniae,Cefepime,Imipenem,2856,0.8774509803921569,0.9969395562356542
kpneumoniae,Cefepime,Tobramycin,2856,0.9278711484593838,0.9979597041571028
kpneumoniae,Cefepime,Ceftriaxone,2864,0.9720670391061452,1.0
kpneumoniae,Cefepime,Colistin,2851,0.8681164503682919,0.9954093343534812
kpneumoniae,Cefepime,Amoxicillin-Clavulanic acid,2852,0.8976157082748948,0.9969395562356542
kpneumoniae,Cefepime,Ampicillin-Amoxicillin,2856,0.13550420168067226,0.9979597041571028
kpneumoniae,Cefepime,Ertapenem,2864,0.8809357541899442,0.9989798520785514
kpneumoniae,Cefepime,Cefpodoxime,1826,0.968236582694414,0.7352716143840857
kpneumoniae,Cefepime,Norfloxacin,1821,0.9099395936298736,0.733996429482275
kpneumoniae,Cefepime,Fosfomycin-Trometamol,1822,0.7113062568605928,0.7342514664626371
kpneumoniae,Cotrimoxazole,Ceftazidime,2856,0.8606442577030813,0.9982147411374649
kpneumoniae,Cotrimoxazole,Amikacin,2856,0.8277310924369747,0.9982147411374649
kpneumoniae,Cotrimoxazole,Levofloxacin,2856,0.8721988795518207,0.9984697781178271
kpneumoniae,Cotrimoxazole,Imipenem,2856,0.7909663865546218,0.9974496301963784
kpneumoniae,Cotrimoxazole,Tobramycin,2856,0.8616946778711485,0.9984697781178271
kpneumoniae,Cotrimoxazole,Ceftriaxone,2862,0.86617749825297,0.9994899260392757
kpneumoniae,Cotrimoxazole,Colistin,2851,0.7877937565766397,0.9959194083142056
kpneumoniae,Cotrimoxazole,Amoxicillin-Clavulanic acid,2850,0.8326315789473684,0.9964294822749299
kpneumoniae,Cotrimoxazole,Ampicillin-Amoxicillin,2856,0.21498599439775912,0.9984697781178271
kpneumoniae,Cotrimoxazole,Ertapenem,2862,0.7917540181691125,0.9984697781178271
kpneumoniae,Cotrimoxazole,Cefpodoxime,1826,0.8625410733844469,0.73578168834481
kpneumoniae,Cotrimoxazole,Norfloxacin,1821,0.8720483250961011,0.7345065034429993
kpneumoniae,Cotrimoxazole,Fosfomycin-Trometamol,1822,0.6514818880351262,0.7347615404233614
kpneumoniae,Ceftazidime,Amikacin,2856,0.8823529411764706,0.9994899260392757
kpneumoniae,Ceftazidime,Levofloxacin,2856,0.8799019607843137,0.9997449630196379
kpneumoniae,Ceftazidime,Imipenem,2857,0.8596429821491075,0.9992348890589136
kpneumoniae,Ceftazidime,Tobramycin,2856,0.9065126050420168,0.9997449630196379
kpneumoniae,Ceftazidime,Ceftriaxone,2856,0.9716386554621849,0.9977046671767407
kpneumoniae,Ceftazidime,Colistin,2852,0.844319775596073,0.9977046671767407
kpneumoniae,Ceftazidime,Amoxicillin-Clavulanic acid,2844,0.9047116736990155,0.9946442234123948
kpneumoniae,Ceftazidime,Ampicillin-Amoxicillin,2856,0.15896358543417366,0.9997449630196379
kpneumoniae,Ceftazidime,Ertapenem,2856,0.8683473389355743,0.996684519255292
kpneumoniae,Ceftazidime,Cefpodoxime,1826,0.9720700985761227,0.7370568732466207
kpneumoniae,Ceftazidime,Norfloxacin,1821,0.9071938495332235,0.73578168834481
kpneumoniae,Ceftazidime,Fosfomycin-Trometamol,1822,0.7052689352360044,0.7360367253251722
kpneumoniae,Amikacin,Levofloxacin,2856,0.8483893557422969,0.9997449630196379
kpneumoniae,Amikacin,Imipenem,2856,0.9387254901960784,0.9987248150981892
kpneumoniae,Amikacin,Tobramycin,2856,0.9394257703081232,0.9997449630196379
kpneumoniae,Amikacin,Ceftriaxone,2856,0.8799019607843137,0.9977046671767407
kpneumoniae,Amikacin,Colistin,2851,0.9435285864608909,0.9971945932160163
kpneumoniae,Amikacin,Amoxicillin-Clavulanic acid,2844,0.8484528832630098,0.9946442234123948
kpneumoniae,Amikacin,Ampicillin-Amoxicillin,2856,0.0546218487394958,0.9997449630196379
kpneumoniae,Amikacin,Ertapenem,2856,0.9334733893557423,0.996684519255292
kpneumoniae,Amikacin,Cefpodoxime,1826,0.9008762322015335,0.7370568732466207
kpneumoniae,Amikacin,Norfloxacin,1821,0.8643602416254805,0.73578168834481
kpneumoniae,Amikacin,Fosfomycin-Trometamol,1822,0.7228320526893524,0.7360367253251722
kpneumoniae,Levofloxacin,Imipenem,2856,0.8186274509803921,0.9989798520785514
kpneumoniae,Levofloxacin,Tobramycin,2856,0.8921568627450981,1.0
kpneumoniae,Levofloxacin,Ceftriaxone,2856,0.8886554621848739,0.9979597041571028
kpneumoniae,Levofloxacin,Colistin,2851,0.8155033321641529,0.9974496301963784
kpneumoniae,Levofloxacin,Amoxicillin-Clavulanic acid,2844,0.8575949367088608,0.994899260392757
kpneumoniae,Levofloxacin,Ampicillin-Amoxicillin,2856,0.1873249299719888,1.0
kpneumoniae,Levofloxacin,Ertapenem,2856,0.8196778711484594,0.9969395562356542
kpneumoniae,Levofloxacin,Cefpodoxime,1826,0.8964950711938664,0.737311910226983
kpneumoniae,Levofloxacin,Norfloxacin,1821,1.0,0.7360367253251722
kpneumoniae,Levofloxacin,Fosfomycin-Trometamol,1822,0.686059275521405,0.7362917623055343
kpneumoniae,Imipenem,Tobramycin,2856,0.8809523809523809,0.9989798520785514
kpneumoniae,Imipenem,Ceftriaxone,2856,0.8571428571428571,0.9969395562356542
kpneumoniae,Imipenem,Colistin,2853,0.9789695057833859,0.9974496301963784
kpneumoniae,Imipenem,Amoxicillin-Clavulanic acid,2844,0.8248945147679325,0.9938791124713083
kpneumoniae,Imipenem,Ampicillin-Amoxicillin,2856,0.018557422969187675,0.9989798520785514
kpneumoniae,Imipenem,Ertapenem,2858,0.9870538838348496,0.9969395562356542
kpneumoniae,Imipenem,Cefpodoxime,1826,0.8767798466593647,0.7362917623055343
kpneumoniae,Imipenem,Norfloxacin,1821,0.8456891817682592,0.7350165774037235
kpneumoniae,Imipenem,Fosfomycin-Trometamol,1822,0.7414928649835346,0.7352716143840857
kpneumoniae,Tobramycin,Ceftriaxone,2856,0.9138655462184874,0.9979597041571028
kpneumoniae,Tobramycin,Colistin,2851,0.8853034023149772,0.9974496301963784
kpneumoniae,Tobramycin,Amoxicillin-Clavulanic acid,2844,0.8804500703234881,0.994899260392757
kpneumoniae,Tobramycin,Ampicillin-Amoxicillin,2856,0.11519607843137254,1.0
kpneumoniae,Tobramycin,Ertapenem,2856,0.8764005602240896,0.9969395562356542
kpneumoniae,Tobramycin,Cefpodoxime,1826,0.9353778751369113,0.737311910226983
kpneumoniae,Tobramycin,Norfloxacin,1821,0.9055464030752334,0.7360367253251722
kpneumoniae,Tobramycin,Fosfomycin-Trometamol,1822,0.7156970362239298,0.7362917623055343
kpneumoniae,Ceftriaxone,Colistin,2851,0.8449666783584707,0.9954093343534812
kpneumoniae,Ceftriaxone,Amoxicillin-Clavulanic acid,2852,0.8948106591865358,0.9969395562356542
kpneumoniae,Ceftriaxone,Ampicillin-Amoxicillin,2856,0.15861344537815125,0.9979597041571028
kpneumoniae,Ceftriaxone,Ertapenem,2864,0.8641759776536313,0.9989798520785514
kpneumoniae,Ceftriaxone,Cefpodoxime,1826,0.9819277108433735,0.7352716143840857
kpneumoniae,Ceftriaxone,Norfloxacin,1821,0.9088412959912137,0.733996429482275
kpneumoniae,Ceftriaxone,Fosfomycin-Trometamol,1822,0.70801317233809,0.7342514664626371
kpneumoniae,Colistin,Amoxicillin-Clavulanic acid,2839,0.8115533638605142,0.9923488905891354
kpneumoniae,Colistin,Ampicillin-Amoxicillin,2851,0.004559803577692038,0.9974496301963784
kpneumoniae,Colistin,Ertapenem,2851,0.9673798667134339,0.9943891864320327
kpneumoniae,Colistin,Cefpodoxime,1823,0.8738343390016456,0.73578168834481
kpneumoniae,Colistin,Norfloxacin,1818,0.8437843784378438,0.7345065034429993
kpneumoniae,Colistin,Fosfomycin-Trometamol,1819,0.7416162726772952,0.7347615404233614
kpneumoniae,Amoxicillin-Clavulanic acid,Ampicillin-Amoxicillin,2844,0.1930379746835443,0.994899260392757
kpneumoniae,Amoxicillin-Clavulanic acid,Ertapenem,2852,0.8369565217391305,0.9959194083142056
kpneumoniae,Amoxicillin-Clavulanic acid,Cefpodoxime,1818,0.916941694169417,0.7342514664626371
kpneumoniae,Amoxicillin-Clavulanic acid,Norfloxacin,1813,0.8836183121897407,0.7329762815608263
kpneumoniae,Amoxicillin-Clavulanic acid,Fosfomycin-Trometamol,1814,0.6697905181918412,0.7332313185411885
kpneumoniae,Ampicillin-Amoxicillin,Ertapenem,2856,0.03081232492997199,0.9969395562356542
kpneumoniae,Ampicillin-Amoxicillin,Cefpodoxime,1826,0.12924424972617743,0.737311910226983
kpneumoniae,Ampicillin-Amoxicillin,Norfloxacin,1821,0.16035145524437122,0.7360367253251722
kpneumoniae,Ampicillin-Amoxicillin,Fosfomycin-Trometamol,1822,0.2601536772777168,0.7362917623055343
kpneumoniae,Ertapenem,Cefpodoxime,1826,0.8855421686746988,0.7342514664626371
kpneumoniae,Ertapenem,Norfloxacin,1821,0.8484349258649094,0.7329762815608263
kpneumoniae,Ertapenem,Fosfomycin-Trometamol,1822,0.7409440175631175,0.7332313185411885
kpneumoniae,Cefpodoxime,Norfloxacin,1820,0.8967032967032967,0.9982147411374649
kpneumoniae,Cefpodoxime,Fosfomycin-Trometamol,1821,0.700713893465129,0.9984697781178271
kpneumoniae,Norfloxacin,Fosfomycin-Trometamol,1821,0.686436024162548,0.9997449630196379
paeruginosa,Piperacillin-Tazobactam,Meropenem,3256,0.8181818181818182,0.9969084913437758
paeruginosa,Piperacillin-Tazobactam,Ciprofloxacin,3255,0.7456221198156682,0.9964962901896125
paeruginosa,Piperacillin-Tazobactam,Cefepime,3158,0.8533882203926536,0.9777411376751854
paeruginosa,Piperacillin-Tazobactam,Ceftazidime,2546,0.9214454045561665,0.8518136850783182
paeruginosa,Piperacillin-Tazobactam,Amikacin,2447,0.8062934205149163,0.8318219291014015
paeruginosa,Piperacillin-Tazobactam,Levofloxacin,2444,0.7974631751227496,0.8314097279472382
paeruginosa,Piperacillin-Tazobactam,Imipenem,2447,0.8308132407029015,0.8305853256389117
paeruginosa,Piperacillin-Tazobactam,Tobramycin,3254,0.791641057160418,0.9977328936521023
paeruginosa,Piperacillin-Tazobactam,Colistin,3254,0.7839582052858021,0.997320692497939
paeruginosa,Piperacillin-Tazobactam,Aztreonam,774,0.6046511627906976,0.4870156636438582
paeruginosa,Meropenem,Ciprofloxacin,3260,0.7883435582822086,0.9971145919208574
paeruginosa,Meropenem,Cefepime,3163,0.8226367372747392,0.9783594394064303
paeruginosa,Meropenem,Ceftazidime,2549,0.8630835621812476,0.8516075845012366
paeruginosa,Meropenem,Amikacin,2449,0.8272764393630053,0.8312036273701566
paeruginosa,Meropenem,Levofloxacin,2446,0.8246116107931316,0.8307914262159934
paeruginosa,Meropenem,Imipenem,2456,0.9666123778501629,0.8328524319868096
paeruginosa,Meropenem,Tobramycin,3258,0.8118477593615715,0.9979389942291839
paeruginosa,Meropenem,Colistin,3258,0.8158379373848987,0.9975267930750206
paeruginosa,Meropenem,Aztreonam,777,0.574002574002574,0.4868095630667766
paeruginosa,Ciprofloxacin,Cefepime,3162,0.7805186590765338,0.9779472382522671
paeruginosa,Ciprofloxacin,Ceftazidime,2548,0.8057299843014128,0.8511953833470733
paeruginosa,Ciprofloxacin,Amikacin,2449,0.8276847692935893,0.8312036273701566
paeruginosa,Ciprofloxacin,Levofloxacin,2446,0.9979558462796402,0.8307914262159934
paeruginosa,Ciprofloxacin,Imipenem,2451,0.828641370869033,0.8307914262159934
